int,resp,probs,feedback,Subject,Block,Run,Task,Main
450.0,453.86558917835276,0.30293514892481155,0.07379150467060737,1,Short Uniform,1197,1,True
825.0,616.5218171139544,0.26619686393541825,63.85770834081539,1,Short Uniform,1198,1,True
450.0,420.74722930044976,0.38801273935089753,4.2258004622245195,1,Short Uniform,1199,1,True
450.0,422.90171069277443,0.08103218338023041,3.6262581895214603,1,Short Uniform,1200,1,True
675.0,608.9142292980158,0.6875860755114702,9.585358769328355,1,Short Uniform,1201,1,True
675.0,502.6590588873354,0.11797362391275178,65.18825785152029,1,Short Uniform,1202,1,True
525.0,538.2466614504224,0.3826619814366886,0.6366405064203406,1,Short Uniform,1203,1,True
675.0,752.7544098108513,0.40601853594611464,13.269131950691472,1,Short Uniform,1204,1,True
675.0,664.2489151555121,0.5170546986121172,0.25368631074540887,1,Short Uniform,1205,1,True
525.0,695.6782772307603,0.2370803437349161,105.69097258398281,1,Short Uniform,1206,1,True
825.0,572.4403981730896,0.5524515631678313,93.71732227727088,1,Short Uniform,1207,1,True
675.0,688.2025066527599,0.6209245000226634,0.3825650083208105,1,Short Uniform,1208,1,True
825.0,642.2667335059817,0.21820572657882642,49.05997676190839,1,Short Uniform,1209,1,True
675.0,524.1087703870384,0.6283196082674702,49.97127719969605,1,Short Uniform,1210,1,True
450.0,435.21841481207923,0.3598024075939048,1.0789889415691787,1,Short Uniform,1211,1,True
600.0,566.5986989490872,0.6862530988673551,3.0990191997047494,1,Short Uniform,1212,1,True
600.0,620.4014445810387,0.19297049267524394,1.1561637249810963,1,Short Uniform,1213,1,True
450.0,589.6915832233104,0.21701890478155722,96.36414036264227,1,Short Uniform,1214,1,True
675.0,669.75542995511,0.6909696090249237,0.06036875710454313,1,Short Uniform,1215,1,True
525.0,423.16853364960684,0.4198134020148065,37.6223039966304,1,Short Uniform,1216,1,True
525.0,590.398479035294,0.2538091142807507,15.517319039019656,1,Short Uniform,1217,1,True
450.0,477.1552954839477,0.4755327785283724,3.6415312238049964,1,Short Uniform,1218,1,True
450.0,370.8930871326342,0.07036238392219908,30.903227967432116,1,Short Uniform,1219,1,True
675.0,597.7551685522938,0.6532766497512679,13.095778294396812,1,Short Uniform,1220,1,True
525.0,429.2051361502531,0.08476728182259026,33.29398980495798,1,Short Uniform,1221,1,True
450.0,584.1665139499265,0.2545630178792336,88.89211587889298,1,Short Uniform,1222,1,True
675.0,620.1859991414493,0.6799852176732308,6.59440261206298,1,Short Uniform,1223,1,True
600.0,602.789321599457,0.17573449416861117,0.02161198606999305,1,Short Uniform,1224,1,True
450.0,499.0079762366944,0.42688230939747446,11.86065054230322,1,Short Uniform,1225,1,True
450.0,390.6989575422691,0.5184667801672869,17.36599326703013,1,Short Uniform,1226,1,True
750.0,683.1465730612979,0.44714637128873913,7.945565677241566,1,Short Uniform,1227,1,True
600.0,611.6695211118098,0.6268076281069639,0.37827145271937307,1,Short Uniform,1228,1,True
450.0,377.2540463763112,0.09100675916735242,26.133203795653746,1,Short Uniform,1229,1,True
450.0,562.65133224707,0.05336417256987242,62.66826003476415,1,Short Uniform,1230,1,True
525.0,641.1470482950015,0.16995727896637938,48.94380708441325,1,Short Uniform,1231,1,True
825.0,448.3565787970609,0.12628889852641897,208.4264708693548,1,Short Uniform,1232,1,True
825.0,474.7150934393062,0.08453205773094186,180.27477063615643,1,Short Uniform,1233,1,True
